task_n,n,a1,pa1,a2,sa,b1,pb1,b2,sb,c1,pc1,c2,sc,rab,rbc,ADD,block_1_A,block_2_A,block_3_A,block_4_A,block_5_A,block_1_B,block_2_B,block_3_B,block_4_B,block_5_B
1_new,2,14,0.67,50,0,22,0.09,23,0,.,.,.,.,0,.,.,,,,,,,,,,
2_new,3,-30,0.31,33,0,15,0.92,11,0,15,0.92,11,0,-1,1,0,,,,,,,,,,
3_new,3,28,0.94,-23,0,25,0.4,24,0,25,0.4,24,0,0,0,0,,,,,,,,,,
4_new,2,11,1,11,6,10,0.54,8,0,.,.,.,.,-1,.,.,,,,,,,,,,
5_new,2,-38,0.05,46,0,-40,0.92,49,10,.,.,.,.,1,.,.,,,,,,,,,,
