,a1,a2,a3,a4,a5,b1,b2,b3,b4,b5,c1,c2,c3,c4,c5,Briars
51.0,0.2,0.1,0.3,0.35,0.25,0.8,0.8,0.65,0.6,0.75,0.0,0.1,0.05,0.05,0.0,0.0
52.0,0.65,0.5,0.4,0.4,0.5,0.15,0.1,0.45,0.45,0.45,0.2,0.4,0.15,0.15,0.05,0.0
53.0,0.15,0.1,0.1,0.4,0.35,0.85,0.85,0.7,0.5,0.5,0.0,0.05,0.2,0.1,0.15,0.0
54.0,0.75,0.7,0.6,0.5,0.45,0.25,0.3,0.35,0.45,0.45,0.0,0.0,0.05,0.05,0.1,0.0
55.0,0.05,0.25,0.6,0.6,0.5,0.9,0.55,0.35,0.25,0.35,0.05,0.2,0.05,0.15,0.15,0.0
56.0,0.9,0.55,0.5,0.65,0.45,0.1,0.05,0.45,0.35,0.45,0.0,0.4,0.05,0.0,0.1,0.0
57.0,0.9,0.85,0.65,0.55,0.5,0.1,0.15,0.3,0.4,0.45,0.0,0.0,0.05,0.05,0.05,0.0
58.0,0.25,0.3,0.1,0.25,0.6,0.75,0.7,0.85,0.7,0.4,0.0,0.0,0.05,0.05,0.0,0.0
59.0,0.55,0.4,0.45,0.35,0.3,0.45,0.55,0.55,0.45,0.65,0.0,0.05,0.0,0.2,0.05,0.0
60.0,0.4,0.1,0.15,0.3,0.35,0.6,0.8,0.7,0.6,0.6,0.0,0.1,0.15,0.1,0.05,0.0
61.0,0.15,0.2,0.2,0.2,0.2,0.6,0.65,0.6,0.6,0.7,0.25,0.15,0.2,0.2,0.1,0.0
62.0,0.65,0.25,0.4,0.55,0.45,0.15,0.3,0.15,0.2,0.4,0.2,0.45,0.45,0.25,0.15,0.0
63.0,0.4,0.25,0.35,0.3,0.45,0.35,0.35,0.3,0.3,0.35,0.25,0.4,0.35,0.4,0.2,0.0
64.0,0.7,0.75,0.5,0.5,0.75,0.2,0.1,0.45,0.35,0.15,0.1,0.15,0.05,0.15,0.1,0.0
65.0,0.1,0.2,0.05,0.35,0.55,0.6,0.65,0.9,0.6,0.45,0.3,0.15,0.05,0.05,0.0,0.0
66.0,0.25,0.45,0.25,0.4,0.35,0.4,0.45,0.7,0.55,0.65,0.35,0.1,0.05,0.05,0.0,0.0
67.0,0.75,0.2,0.3,0.45,0.45,0.25,0.4,0.3,0.3,0.25,0.0,0.4,0.4,0.25,0.3,0.0
68.0,0.25,0.1,0.3,0.45,0.6,0.75,0.75,0.4,0.45,0.25,0.0,0.15,0.3,0.1,0.15,0.0
69.0,0.15,0.25,0.3,0.45,0.5,0.5,0.65,0.65,0.55,0.5,0.35,0.1,0.05,0.0,0.0,0.0
70.0,0.6,0.55,0.45,0.55,0.25,0.4,0.35,0.45,0.4,0.65,0.0,0.1,0.1,0.05,0.1,0.0
71.0,0.5,0.6,0.5,0.4,0.4,0.45,0.15,0.35,0.4,0.45,0.05,0.25,0.15,0.2,0.15,0.0
72.0,0.7,0.8,0.5,0.35,0.45,0.1,0.0,0.2,0.15,0.2,0.2,0.2,0.3,0.5,0.35,0.0
73.0,0.5,0.5,0.45,0.4,0.35,0.45,0.45,0.35,0.45,0.35,0.05,0.05,0.2,0.15,0.3,0.0
74.0,0.75,0.2,0.2,0.25,0.25,0.25,0.7,0.65,0.75,0.7,0.0,0.1,0.15,0.0,0.05,0.0
