task_n,n,a1,pa1,a2,sa,b1,pb1,b2,sb,c1,pc1,c2,sc,rab,rbc,ADD,block_1_A,block_2_A,block_3_A,block_4_A,block_5_A,block_1_B,block_2_B,block_3_B,block_4_B,block_5_B
39,3,3,0.45,0,0,1.2,0.97,-20,0,1.5,0.94,-20,0,0,1,0,0.5,0.62,0.64,0.68,0.72,0.15,0.13,0.15,0.15,0.12
40,3,0.6,1,0.6,0,1.6,0.97,-20,0,1.5,0.94,-20,0,0,1,0,0.14,0.22,0.23,0.28,0.35,0.67,0.65,0.66,0.62,0.57
41,3,3,0.45,0,0,1.6,0.97,-20,0,1.5,0.94,-20,0,0,1,0,0.46,0.52,0.6,0.63,0.7,0.41,0.43,0.36,0.33,0.26
42,3,3,0.45,0,0,2,0.97,-20,0,1.5,0.94,-20,0,0,1,0,0.37,0.4,0.42,0.46,0.5,0.52,0.53,0.53,0.49,0.45
43,3,3,0.98,-148,0,2,0.8,-13,0,0,1,0,0,0,1,0,0.62,0.69,0.68,0.69,0.62,0.25,0.2,0.14,0.12,0.12
44,3,2,0.98,-148,0,3,0.8,-10,0,0,1,0,0,0,1,0,0.45,0.43,0.44,0.47,0.37,0.42,0.44,0.42,0.39,0.43
45,3,3,0.98,-127,0,3,0.8,-10,0,0,1,0,0,0,1,0,,,,,,,,,,
46,2,2.53,0.89,2.03,0,2.52,1,2.52,0,.,.,.,.,0,.,.,,,,,,,,,,
47,2,2.53,0.89,2.43,0,2.52,1,2.52,0,.,.,.,.,0,.,.,,,,,,,,,,
48,2,3,0.9,-30,0,2,1,2,0,.,.,.,.,0,.,.,,,,,,,,,,
49,2,3,0.9,-30,0,8,0.5,-4,0,.,.,.,.,0,.,.,,,,,,,,,,
50,3,35,0.8,0,0,57,0.5,0,0,29,0.65,0,0,0,0,0,,,,,,,,,,
51,3,35,0.8,0,0,57,0.5,0,0,49,0.35,0,0,0,0,0,,,,,,,,,,
52,3,38,0.8,0,0,60,0.5,0,0,32,0.75,0,0,0,0,0,,,,,,,,,,
53,3,38,0.8,0,0,60,0.5,0,0,52,0.45,0,0,0,0,0,,,,,,,,,,
54,3,38,0.8,1,0,60,0.5,1,0,32,0.75,0,0,0,0,0,,,,,,,,,,
55,3,38,0.8,1,0,60,0.5,1,0,52,0.45,0,0,0,0,0,,,,,,,,,,
56,3,40,0.7,0,0,97,0.3,0,0,34,0.55,0,0,0,0,0,,,,,,,,,,
57,3,40,0.7,0,0,97,0.3,0,0,91,0.15,0,0,0,0,0,,,,,,,,,,
58,3,41,0.8,0,0,63,0.5,0,0,35,0.7,0,0,0,0,0,,,,,,,,,,
59,3,41,0.8,0,0,63,0.5,0,0,55,0.4,0,0,0,0,0,,,,,,,,,,
60,3,43,0.7,0,0,100,0.3,0,0,37,0.65,0,0,0,0,0,,,,,,,,,,
61,3,43,0.7,0,0,100,0.3,0,0,94,0.25,0,0,0,0,0,,,,,,,,,,
62,3,43,0.7,1,0,100,0.3,1,0,37,0.65,0,0,0,0,0,,,,,,,,,,
63,3,43,0.7,1,0,100,0.3,1,0,94,0.25,0,0,0,0,0,,,,,,,,,,
64,3,46,0.7,0,0,103,0.3,0,0,40,0.6,0,0,0,0,0,,,,,,,,,,
65,3,46,0.7,0,0,103,0.3,0,0,97,0.2,0,0,0,0,0,,,,,,,,,,
66,3,75,0.4,0,0,38,0.8,0,0,32,0.75,0,0,0,0,0,,,,,,,,,,
67,3,75,0.4,0,0,38,0.8,0,0,69,0.35,0,0,0,0,0,,,,,,,,,,
68,3,96,0.3,0,0,56,0.5,0,0,51,0.35,0,0,0,0,0,,,,,,,,,,
69,3,96,0.3,0,0,56,0.5,0,0,90,0.15,0,0,0,0,0,,,,,,,,,,
70,3,99,0.3,0,0,59,0.5,0,0,54,0.45,0,0,0,0,0,,,,,,,,,,
71,3,99,0.3,0,0,59,0.5,0,0,93,0.25,0,0,0,0,0,,,,,,,,,,
72,3,99,0.3,1,0,59,0.5,1,0,54,0.45,0,0,0,0,0,,,,,,,,,,
73,3,99,0.3,1,0,59,0.5,1,0,93,0.25,0,0,0,0,0,,,,,,,,,,
74,3,100,0.3,0,0,38,0.8,0,0,32,0.75,0,0,0,0,0,,,,,,,,,,
75,3,100,0.3,0,0,38,0.8,0,0,94,0.25,0,0,0,0,0,,,,,,,,,,
76,3,100,0.3,0,0,60,0.5,0,0,54,0.45,0,0,0,0,0,,,,,,,,,,
77,3,100,0.3,0,0,60,0.5,0,0,94,0.25,0,0,0,0,0,,,,,,,,,,
78,3,102,0.3,0,0,62,0.5,0,0,57,0.4,0,0,0,0,0,,,,,,,,,,
79,3,102,0.3,0,0,62,0.5,0,0,96,0.2,0,0,0,0,0,,,,,,,,,,
80,2,9,0.5,-11,0,0,1,0,0,.,.,.,.,0,.,.,,,,,,,,,,
81,2,-1,1,-1,0,0,1,0,0,.,.,.,.,0,.,.,,,,,,,,,,
82,3,-20,0.1,0.9,0,-10,0.1,1,0,0,1,0,0,1,0,0,,,,,,,,,,
83,3,-30,0.1,2,0,-10,0.1,1,0,0,1,0,0,1,0,0,,,,,,,,,,
84,2,2,0.7,-2,0,2,0.3,-2,0,.,.,.,.,-1,.,.,,,,,,,,,,
85,2,4,0.7,0,0,4,0.3,0,0,.,.,.,.,-1,.,.,,,,,,,,,,
86,3,8,0.51,-8,0,7,0.51,-7,0,0,1,0,0,1,0,0,,,,,,,,,,
87,3,12,1,12,0,28,0.1,10,0,28,0.1,10,0,0,-1,0,,,,,,,,,,
88,3,12,1,12,0,11.8,1,11.8,0,11.8,1,11.8,0,0,0,0,,,,,,,,,,
