,a1,a2,a3,a4,a5,b1,b2,b3,b4,b5,,a1,a2,a3,a4,a5,b1,b2,b3,b4,b5
56,0.4,0.5,0.75,0.65,0.65,0.5,0.45,0.1,0.15,0.3,,,,,,,,,,,
56,0.6,0.4,0.35,0.4,0.55,0.25,0.4,0.6,0.35,0.3,,,,,,,,,,,
57,0.45,0.35,0.7,0.4,0.55,0.35,0.35,0.15,0.5,0.35,,,,,,,,,,,
57,0.45,0.4,0.35,0.5,0.55,0.4,0.5,0.55,0.4,0.4,,,,,,,,,,,
57,0.55,0.45,0.2,0.55,0.45,0.2,0.25,0.6,0.35,0.4,,,,,,,,,,,
57,0.05,0.25,0.25,0.1,0.3,0.4,0.5,0.6,0.5,0.45,,,,,,,,,,,
57,0.15,0.25,0.2,0.5,0.45,0.7,0.55,0.65,0.45,0.5,,,,,,,,,,,
58,0.5,0.5,0.5,0.5,0.4,0.3,0.25,0.3,0.3,0.35,,,,,,,,,,,
58,0.35,0.45,0.6,0.6,0.75,0.5,0.45,0.3,0.3,0.2,,,,,,,,,,,
58,0.4,0.35,0.1,0.15,0.2,0.5,0.65,0.75,0.7,0.6,,,,,,,,,,,
58,0.35,0.45,0.4,0.3,0.35,0.3,0.4,0.45,0.5,0.55,,,,,,,,,,,
58,0.2,0.5,0.35,0.35,0.5,0.65,0.45,0.4,0.5,0.35,,,,,,,,,,,
59,0.3,0.45,0.45,0.7,0.5,0.5,0.4,0.4,0.2,0.2,,,,,,,,,,,
59,0.25,0.5,0.35,0.5,0.5,0.4,0.25,0.5,0.35,0.3,,,,,,,,,,,
59,0.15,0.2,0.35,0.35,0.45,0.65,0.55,0.3,0.55,0.45,,,,,,,,,,,
59,0.35,0.3,0.35,0.3,0.35,0.45,0.6,0.5,0.45,0.5,,,,,,,,,,,
59,0.35,0.55,0.4,0.3,0.4,0.55,0.45,0.55,0.45,0.45,,,,,,,,,,,
60,0.1,0.2,0.35,0.35,0.3,0.4,0.6,0.55,0.35,0.55,,,,,,,,,,,
60,0.5,0.5,0.4,0.1,0.35,0.35,0.35,0.3,0.55,0.5,,,,,,,,,,,
60,0.55,0.4,0.6,0.5,0.3,0.3,0.4,0.3,0.4,0.55,,,,,,,,,,,
60,0.4,0.45,0.5,0.45,0.3,0.35,0.35,0.25,0.35,0.25,,,,,,,,,,,
60,0.45,0.45,0.5,0.5,0.6,0.4,0.4,0.5,0.4,0.3,,,,,,,,,,,
61,0.5,0.35,0.25,0.35,0.35,0.45,0.45,0.6,0.45,0.45,,,,,,,,,,,
61,0.15,0.35,0.2,0.25,0.15,0.25,0.5,0.7,0.55,0.75,,,,,,,,,,,
61,0.25,0.7,0.45,0.35,0.45,0.6,0.2,0.55,0.4,0.45,,,,,,,,,,,
61,0.3,0.55,0.3,0.35,0.35,0.45,0.35,0.55,0.6,0.4,,,,,,,,,,,
61,0.15,0.25,0.25,0.3,0.25,0.3,0.55,0.4,0.4,0.5,,,,,,,,,,,
62,0.5,0.35,0.3,0.35,0.25,0.4,0.5,0.6,0.5,0.5,,,,,,,,,,,
62,0.3,0.35,0.4,0.35,0.3,0.45,0.5,0.6,0.25,0.45,,,,,,,,,,,
62,0.5,0.65,0.5,0.4,0.3,0.3,0.3,0.4,0.45,0.6,,,,,,,,,,,
62,0.05,0.25,0.45,0.4,0.65,0.6,0.55,0.4,0.4,0.15,,,,,,,,,,,
62,0.25,0.25,0.2,0.4,0.2,0.5,0.6,0.6,0.45,0.6,,,,,,,,,,,
63,0.2,0.25,0.25,0.4,0.45,0.35,0.6,0.65,0.5,0.35,,,,,,,,,,,
63,0.25,0.3,0.2,0.2,0.35,0.3,0.1,0.45,0.3,0.25,,,,,,,,,,,
63,0.3,0.2,0.15,0.3,0.25,0.65,0.7,0.85,0.6,0.65,,,,,,,,,,,
63,0.55,0.6,0.4,0.3,0.35,0.4,0.15,0.45,0.35,0.5,,,,,,,,,,,
63,0.15,0.2,0.25,0.1,0.2,0.7,0.2,0.3,0.5,0.6,,,,,,,,,,,
64,0.7,0.8,0.75,0.6,0.55,0.25,0.15,0.2,0.3,0.35,,,,,,,,,,,
64,0.4,0.5,0.2,0.45,0.45,0.4,0.35,0.55,0.4,0.4,,,,,,,,,,,
64,0.35,0.4,0.4,0.55,0.6,0.4,0.45,0.6,0.35,0.3,,,,,,,,,,,
64,0.3,0.35,0.6,0.45,0.3,0.55,0.3,0.25,0.3,0.5,,,,,,,,,,,
64,0.45,0.55,0.3,0.4,0.45,0.5,0.2,0.6,0.25,0.5,,,,,,,,,,,
65,0.4,0.5,0.4,0.4,0.5,0.5,0.35,0.4,0.5,0.3,,,,,,,,,,,
65,0.25,0.3,0.3,0.45,0.25,0.15,0.3,0.4,0.45,0.3,,,,,,,,,,,
65,0.45,0.35,0.25,0.45,0.3,0.15,0.45,0.5,0.55,0.7,,,,,,,,,,,
65,0.25,0.25,0.15,0.3,0.4,0.75,0.65,0.8,0.6,0.5,,,,,,,,,,,
65,0.35,0.5,0.5,0.45,0.4,0.3,0.25,0.2,0.3,0.35,,,,,,,,,,,
66,0.2,0.1,0.25,0.15,0.3,0.6,0.85,0.65,0.7,0.6,,,,,,,,,,,
66,0.35,0.15,0.2,0.3,0.2,0.4,0.55,0.65,0.6,0.55,,,,,,,,,,,
66,0.35,0.8,0.5,0.35,0.2,0.45,0.15,0.3,0.4,0.6,,,,,,,,,,,
66,0.45,0.5,0.4,0.4,0.4,0.4,0.45,0.55,0.4,0.4,,,,,,,,,,,
66,0.05,0.2,0.35,0.25,0.25,0.65,0.7,0.5,0.7,0.35,,,,,,,,,,,
67,0.2,0.35,0.3,0.35,0.4,0.55,0.25,0.25,0.35,0.45,,,,,,,,,,,
67,0.3,0.55,0.6,0.5,0.3,0.35,0.4,0.2,0.25,0.6,,,,,,,,,,,
67,0.25,0.15,0.25,0.15,0.45,0.35,0.7,0.65,0.65,0.5,,,,,,,,,,,
67,0.15,0.1,0.3,0.2,0.2,0.6,0.55,0.4,0.3,0.6,,,,,,,,,,,
67,0.3,0.35,0.3,0.25,0.2,0.25,0.45,0.45,0.45,0.45,,,,,,,,,,,
68,0.45,0.35,0.35,0.35,0.15,0.4,0.55,0.5,0.65,0.6,,,,,,,,,,,
68,0.45,0.5,0.55,0.4,0.3,0.35,0.45,0.45,0.55,0.55,,,,,,,,,,,
68,0.25,0.35,0.45,0.35,0.3,0.2,0.45,0.4,0.35,0.45,,,,,,,,,,,
68,0.4,0.45,0.5,0.25,0.35,0.25,0.4,0.4,0.6,0.3,,,,,,,,,,,
68,0.45,0.5,0.4,0.35,0.5,0.25,0.35,0.5,0.55,0.4,,,,,,,,,,,
69,0.35,0.35,0.6,0.45,0.3,0.5,0.6,0.3,0.55,0.6,,,,,,,,,,,
69,0.45,0.4,0.5,0.45,0.6,0.5,0.5,0.4,0.35,0.4,,,,,,,,,,,
69,0.5,0.35,0.45,0.6,0.4,0.4,0.4,0.35,0.3,0.6,,,,,,,,,,,
69,0.45,0.2,0.35,0.4,0.3,0.25,0.7,0.45,0.5,0.55,,,,,,,,,,,
69,0.45,0.6,0.55,0.4,0.5,0.3,0.3,0.25,0.45,0.4,,,,,,,,,,,
70,0.7,0.55,0.7,0.75,0.55,0.2,0.15,0.25,0.15,0.3,,,,,,,,,,,
70,0.6,0.65,0.4,0.7,0.75,0.25,0.25,0.6,0.15,0.25,,,,,,,,,,,
70,0.2,0.4,0.65,0.3,0.45,0.6,0.35,0.2,0.35,0.25,,,,,,,,,,,
70,0.7,0.45,0.6,0.65,0.55,0.25,0.3,0.15,0.25,0.15,,,,,,,,,,,
70,0.2,0.3,0.25,0.25,0.6,0.45,0.45,0.5,0.5,0.3,,,,,,,,,,,
71,0.45,0.75,0.65,0.6,0.45,0.45,0.25,0.2,0.3,0.4,,,,,,,,,,,
71,0.2,0.05,0.4,0.2,0.4,0.65,0.7,0.35,0.45,0.4,,,,,,,,,,,
71,0.25,0.6,0.6,0.3,0.1,0.35,0.3,0.3,0.5,0.75,,,,,,,,,,,
71,0.65,0.7,0.45,0.55,0.6,0.15,0.25,0.5,0.35,0.35,,,,,,,,,,,
71,0.1,0.4,0.5,0.4,0.6,0.3,0.35,0.3,0.25,0.25,,,,,,,,,,,
72,0.35,0.3,0.2,0.25,0.35,0.1,0.45,0.55,0.4,0.45,,,,,,,,,,,
72,0.3,0.35,0.3,0.35,0.45,0.6,0.55,0.5,0.55,0.4,,,,,,,,,,,
72,0.3,0.45,0.2,0.35,0.3,0.5,0.4,0.65,0.45,0.55,,,,,,,,,,,
72,0.3,0.2,0.55,0.5,0.5,0.45,0.5,0.3,0.35,0.45,,,,,,,,,,,
72,0.45,0.4,0.45,0.25,0.05,0.45,0.5,0.2,0.5,0.75,,,,,,,,,,,
73,0.4,0.35,0.3,0.35,0.4,0.25,0.45,0.65,0.45,0.35,,,,,,,,,,,
73,0.3,0.35,0.45,0.35,0.2,0.55,0.5,0.5,0.65,0.6,,,,,,,,,,,
73,0.4,0.65,0.65,0.5,0.6,0.2,0.2,0.15,0.25,0.15,,,,,,,,,,,
73,0.3,0.5,0.5,0.4,0.6,0.55,0.35,0.3,0.35,0.2,,,,,,,,,,,
73,0.25,0.35,0.35,0.45,0.4,0.3,0.4,0.4,0.5,0.45,,,,,,,,,,,
74,0.25,0.2,0.35,0.55,0.4,0.55,0.4,0.4,0.35,0.55,,,,,,,,,,,
74,0.2,0.6,0.4,0.5,0.6,0.5,0.25,0.4,0.3,0.3,,,,,,,,,,,
74,0.75,0.7,0.6,0.45,0.6,0.15,0.2,0.3,0.4,0.15,,,,,,,,,,,
74,0.3,0.2,0.6,0.5,0.25,0.25,0.75,0.25,0.3,0.55,,,,,,,,,,,
74,0.55,0.45,0.3,0.4,0.25,0.15,0.3,0.4,0.35,0.55,70,0.48,0.47,0.52,0.53,0.58,0.35,0.3,0.34,0.28,
75,0.4,0.6,0.35,0.3,0.65,0.55,0.4,0.55,0.6,0.25,71,0.33,0.5,0.52,0.41,0.43,0.38,0.37,0.33,0.37,
