,a1,a2,a3,a4,a5,b1,b2,b3,b4,b5,c1,c2,c3,c4,c5,Briars
36,0.2,0.1,0.3,0.5,0.45,0.75,0.45,0.25,0.2,0.35,0.05,0.45,0.45,0.3,0.2,0.026253333
37,0.15,0.3,0.7,0.6,0.55,0.35,0.45,0.2,0.25,0.35,0.5,0.25,0.1,0.15,0.1,0.04608
38,0.15,0,0.1,0.1,0.05,0.2,0.1,0.1,0.05,0.1,0.65,0.9,0.8,0.85,0.85,0.054066667
39,0.8,0.35,0.6,0.45,0.65,0.1,0.1,0.05,0.1,0,0.1,0.55,0.35,0.45,0.35,0.035946667
40,0.1,0,0,0,0,0.9,1,0.95,0.85,0.9,0,0,0.05,0.15,0.1,0.052306667
41,0.1,0.1,0.35,0.25,0.4,0.9,0.75,0.55,0.7,0.35,0,0.15,0.1,0.05,0.25,0.08008
42,0.25,0.15,0.25,0.15,0.2,0.75,0.85,0.75,0.75,0.6,0,0,0,0.1,0.2,0.042013333
43,0.75,0.7,0.95,0.7,0.7,0.05,0.15,0.05,0.05,0.2,0.2,0.15,0,0.25,0.1,0.015093333
44,0.4,0.35,0.7,0.7,0.5,0.3,0.35,0.25,0.25,0.4,0.3,0.3,0.05,0.05,0.1,0.020146667
45,0.9,0.75,0.85,0.9,0.9,0.1,0.2,0.1,0.05,0.05,0,0.05,0.05,0.05,0.05,0
46,0.3,0.5,0.4,0.55,0.6,0.7,0.5,0.6,0.45,0.4,0,0,0,0,0,0
47,0.75,0.6,0.65,0.85,0.7,0.25,0.4,0.35,0.15,0.3,0,0,0,0,0,0
48,0.95,0.9,0.5,0.6,0.6,0.05,0.1,0.5,0.4,0.4,0,0,0,0,0,0
49,0.8,0.4,0.3,0.2,0.4,0.2,0.6,0.7,0.8,0.6,0,0,0,0,0,0
50,0.5,0.45,0.2,0.25,0.2,0.35,0.5,0.7,0.55,0.65,0.15,0.05,0.1,0.2,0.15,0
51,0.3,0.45,0.65,0.35,0.3,0.5,0.35,0.25,0.5,0.65,0.2,0.2,0.1,0.15,0.05,0
52,0.55,0.3,0.5,0.4,0.5,0.35,0.6,0.4,0.5,0.45,0.1,0.1,0.1,0.1,0.05,0
53,0.35,0.5,0.1,0.2,0.15,0.65,0.5,0.8,0.5,0.55,0,0,0.1,0.3,0.3,0
54,0.5,0.4,0.35,0.45,0.65,0.3,0.3,0.45,0.35,0.3,0.2,0.3,0.2,0.2,0.05,0
55,0.65,0.65,0.5,0.5,0.55,0.1,0.15,0.25,0.2,0.05,0.25,0.2,0.25,0.3,0.4,0
56,0.4,0.3,0.35,0.25,0.6,0.6,0.5,0.5,0.4,0.2,0,0.2,0.15,0.35,0.2,0
57,0.7,0.2,0.4,0.25,0.35,0.2,0.55,0.4,0.65,0.45,0.1,0.25,0.2,0.1,0.2,0
58,0.8,0.9,0.65,0.3,0.35,0.2,0.1,0.25,0.7,0.55,0,0,0.1,0,0.1,0
59,0.9,0.65,0.5,0.45,0.5,0.1,0.3,0.35,0.4,0.4,0,0.05,0.15,0.15,0.1,0
60,0.3,0.35,0.4,0.55,0.45,0.5,0.5,0.5,0.2,0.4,0.2,0.15,0.1,0.25,0.15,0
61,0.35,0.3,0.15,0.25,0.25,0.3,0.55,0.6,0.45,0.6,0.35,0.15,0.25,0.3,0.15,0
62,0.2,0.3,0.4,0.45,0.4,0.25,0.4,0.25,0.5,0.45,0.55,0.3,0.35,0.05,0.15,0
63,0.35,0.35,0.2,0.25,0.5,0.6,0.15,0.3,0.35,0.3,0.05,0.5,0.5,0.4,0.2,0
64,0.35,0.4,0.35,0.45,0.4,0.55,0.45,0.45,0.4,0.4,0.1,0.15,0.2,0.15,0.2,0
65,0.2,0.4,0.65,0.3,0.25,0.8,0.3,0.25,0.4,0.35,0,0.3,0.1,0.3,0.4,0
66,0.2,0.25,0.35,0.1,0.25,0.6,0.5,0.25,0.4,0.35,0.2,0.25,0.4,0.5,0.4,0
67,0.4,0.15,0.35,0.4,0.65,0.4,0.3,0.25,0.35,0.25,0.2,0.55,0.4,0.25,0.1,0
68,0.15,0.1,0.2,0.3,0.15,0.65,0.6,0.55,0.45,0.7,0.2,0.3,0.25,0.25,0.15,0
69,0.75,0.4,0.5,0.35,0.3,0.25,0.45,0.4,0.3,0.6,0,0.15,0.1,0.35,0.1,0
70,0.65,0.35,0.3,0.4,0.4,0.15,0.1,0.35,0.3,0.3,0.2,0.55,0.35,0.3,0.3,0
71,0.3,0.05,0.45,0.4,0.1,0.65,0.8,0.55,0.5,0.65,0.05,0.15,0,0.1,0.25,0
72,0.45,0.4,0.65,0.45,0.65,0.5,0.5,0.2,0.5,0.35,0.05,0.1,0.15,0.05,0,0
73,0.65,0.25,0.35,0.1,0.25,0.2,0.5,0.55,0.45,0.4,0.15,0.25,0.1,0.45,0.35,0
74,0.15,0.35,0.4,0.2,0.7,0.2,0.55,0.4,0.65,0.15,0.65,0.1,0.2,0.15,0.15,0
75,0.1,0,0.2,0.15,0.25,0.9,0.9,0.45,0.75,0.7,0,0.1,0.35,0.1,0.05,0
76,0.15,0.2,0.25,0.3,0.35,0.85,0.75,0.65,0.35,0.45,0,0.05,0.1,0.35,0.2,0
77,0.5,0.6,0.55,0.6,0.65,0.3,0.15,0.4,0.2,0.2,0.2,0.25,0.05,0.2,0.15,0
78,0.3,0.4,0.35,0.4,0.3,0.6,0.5,0.55,0.5,0.5,0.1,0.1,0.1,0.1,0.2,0
79,0.35,0.85,0.5,0.6,0.6,0.65,0.15,0.25,0.25,0.3,0,0,0.25,0.15,0.1,0
80,0.75,0.75,0.45,0.5,0.35,0.25,0.25,0.55,0.5,0.65,0,0,0,0,0,0
81,0.1,0,0,0,0,0.9,1,1,1,1,0,0,0,0,0,0
82,0.15,0.25,0.45,0.2,0.4,0.8,0.65,0.3,0.8,0.5,0.05,0.1,0.25,0,0.1,0
83,0.8,0.7,0.65,0.5,0.6,0.2,0.2,0.3,0.35,0.35,0,0.1,0.05,0.15,0.05,0
84,0.95,0.9,0.95,0.95,0.85,0.05,0.1,0.05,0.05,0.15,0,0,0,0,0,0
85,0.85,0.95,0.85,0.95,1,0.15,0.05,0.15,0.05,0,0,0,0,0,0,0
86,0.9,0.6,0.6,0.55,0.7,0.1,0.15,0.2,0.15,0.1,0,0.25,0.2,0.3,0.2,0
87,0.45,0.25,0.3,0.4,0.4,0.3,0.2,0.3,0.3,0.4,0.25,0.55,0.4,0.3,0.2,0
88,0.9,1,1,1,1,0.1,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,0.054551212
